parcel_id,sqft,baths,beds,tax_value,fips,tax_amount,age,tax_rate,county
14634203,1125.0,2.0,3.0,289445.0,6059.0,3490.16,43.0,0.012058111212838363,Orange
11721753,1316.0,2.0,3.0,205123.0,6037.0,2627.48,94.0,0.012809290035734658,Los Angeles
11289917,1458.0,2.0,3.0,136104.0,6037.0,2319.9,47.0,0.017045053782401693,Los Angeles
11637029,1766.0,2.0,3.0,810694.0,6037.0,9407.01,37.0,0.01160365069927741,Los Angeles
11705026,1421.0,1.0,2.0,35606.0,6037.0,543.69,106.0,0.015269617480199968,Los Angeles
14269464,2541.0,3.0,4.0,880456.0,6059.0,9819.72,14.0,0.011152993448849232,Orange
11446756,1491.0,2.0,3.0,107110.0,6037.0,1399.27,62.0,0.013063859583605638,Los Angeles
11389003,1650.0,2.0,3.0,614000.0,6037.0,7673.19,68.0,0.012497052117263843,Los Angeles
11967869,693.0,1.0,2.0,274237.0,6037.0,3267.47,96.0,0.011914767153958072,Los Angeles
11429175,1655.0,2.0,4.0,164269.0,6037.0,2169.62,62.0,0.013207726351289653,Los Angeles
11696784,1378.0,0.0,0.0,168828.0,6037.0,2135.39,0.0,0.0126483166299429,Los Angeles
11921077,1331.0,2.0,3.0,224906.0,6037.0,4086.17,63.0,0.01816834588672601,Los Angeles
11391972,1440.0,2.0,3.0,286062.0,6037.0,6093.88,79.0,0.021302654669267503,Los Angeles
14621355,1277.0,1.5,2.0,95442.0,6059.0,998.18,48.0,0.010458498355021897,Orange
11743374,2427.0,1.0,4.0,519963.0,6037.0,6444.87,105.0,0.012394862711385233,Los Angeles
17295416,1144.0,2.0,2.0,239109.0,6111.0,3209.98,44.0,0.01342475607358987,Ventura
12870253,1346.0,2.0,3.0,465102.0,6037.0,5627.16,58.0,0.012098765432098766,Los Angeles
11460552,1280.0,2.0,3.0,899750.0,6037.0,10783.39,67.0,0.011984873575993331,Los Angeles
12035176,812.0,1.0,1.0,245906.0,6037.0,2926.19,51.0,0.011899628313257912,Los Angeles
14236060,1668.0,2.0,3.0,196483.0,6059.0,2376.34,41.0,0.012094379666434247,Orange
14671963,1631.0,2.5,3.0,510311.0,6059.0,7975.18,7.0,0.01562807778002042,Orange
14365030,1653.0,2.5,3.0,605000.0,6059.0,6185.28,25.0,0.010223603305785124,Orange
14008322,879.0,1.0,3.0,141875.0,6059.0,2015.78,64.0,0.014208140969162996,Orange
11552513,1108.0,2.0,3.0,486866.0,6037.0,5990.5,64.0,0.012304206907033969,Los Angeles
12535098,1947.0,2.0,3.0,388478.0,6037.0,4784.07,94.0,0.012314905863395094,Los Angeles
12443331,1004.0,1.0,3.0,272154.0,6037.0,3307.31,95.0,0.012152347567921103,Los Angeles
12955531,3416.0,3.0,4.0,344328.0,6037.0,4136.13,44.0,0.012012180246741479,Los Angeles
11391577,1061.0,1.0,2.0,31839.0,6037.0,412.48,94.0,0.01295518075316436,Los Angeles
13880422,1306.0,2.0,3.0,203480.0,6059.0,2543.86,54.0,0.01250176921564773,Orange
12814323,1632.0,2.0,3.0,499402.0,6037.0,5921.67,47.0,0.011857521595828611,Los Angeles
10976131,2768.0,3.0,3.0,151340.0,6037.0,2373.63,66.0,0.0156840888066605,Los Angeles
14734602,1038.0,2.0,2.0,352000.0,6059.0,4094.44,14.0,0.011631931818181819,Orange
13020886,836.0,1.0,2.0,99891.0,6037.0,1322.97,40.0,0.01324413610835811,Los Angeles
12057023,2392.0,3.0,3.0,845708.0,6037.0,9310.38,54.0,0.011008977093748668,Los Angeles
13067643,1204.0,2.0,2.0,284000.0,6037.0,3931.85,31.0,0.013844542253521126,Los Angeles
11187927,1088.0,2.0,3.0,130679.0,6037.0,2228.31,62.0,0.01705178337758936,Los Angeles
11451345,1157.0,2.0,3.0,85692.0,6037.0,1147.37,63.0,0.013389464594127804,Los Angeles
10984661,1386.0,2.0,3.0,52560.0,6037.0,777.51,60.0,0.014792808219178081,Los Angeles
12196319,728.0,1.0,2.0,75227.0,6037.0,1471.8,96.0,0.01956478392066678,Los Angeles
11367981,1191.0,2.0,3.0,164685.0,6037.0,2169.02,82.0,0.013170719859124996,Los Angeles
11312124,1358.0,2.0,3.0,168626.0,6037.0,3107.95,26.0,0.01843102487160936,Los Angeles
10858360,1173.0,2.0,2.0,501000.0,6037.0,6060.61,29.0,0.012097025948103792,Los Angeles
12607366,727.0,2.0,2.0,277000.0,6037.0,3186.6,15.0,0.011503971119133575,Los Angeles
12532988,1401.0,2.0,2.0,348734.0,6037.0,4161.1,32.0,0.011932016952749088,Los Angeles
13071085,2291.0,3.0,4.0,397616.0,6037.0,5284.09,37.0,0.013289430002816788,Los Angeles
10732347,2115.0,2.0,4.0,115306.0,6037.0,1613.84,57.0,0.013996149376441815,Los Angeles
11577176,1965.0,3.0,2.0,557821.0,6037.0,6432.67,36.0,0.011531781700581369,Los Angeles
10722858,1570.0,2.0,4.0,373282.0,6037.0,4619.79,57.0,0.012376139219142632,Los Angeles
12114701,918.0,1.0,2.0,374368.0,6037.0,4406.57,109.0,0.011770690871014617,Los Angeles
13083743,1050.0,2.0,3.0,259334.0,6037.0,3345.78,57.0,0.012901432129994525,Los Angeles
17086759,1373.0,2.0,3.0,62048.0,6111.0,703.0,60.0,0.011329938112429086,Ventura
13921492,1485.0,2.0,4.0,63338.0,6059.0,974.9,58.0,0.015392023745618743,Orange
11969146,1716.0,1.0,3.0,44455.0,6037.0,690.81,89.0,0.01553953436058936,Los Angeles
12178305,3048.0,3.0,5.0,1150000.0,6037.0,12741.62,50.0,0.011079669565217392,Los Angeles
11289757,2092.0,2.0,3.0,217006.0,6037.0,3221.12,61.0,0.014843460549477895,Los Angeles
11961462,1184.0,1.0,2.0,46336.0,6037.0,603.88,90.0,0.013032631215469614,Los Angeles
12492881,1569.0,2.0,3.0,73054.0,6037.0,1206.4,63.0,0.016513811700933557,Los Angeles
12285822,1069.0,2.0,2.0,44826.0,6037.0,997.56,79.0,0.02225404898942578,Los Angeles
11141309,829.0,2.0,2.0,142745.0,6037.0,2199.66,27.0,0.015409716627552628,Los Angeles
12519794,1382.0,2.0,4.0,185483.0,6037.0,2414.53,64.0,0.013017527212736479,Los Angeles
14092694,1255.0,2.0,3.0,188730.0,6059.0,2586.54,62.0,0.013704975361627722,Orange
10792511,898.0,2.0,2.0,141277.0,6037.0,1688.75,38.0,0.011953467301825492,Los Angeles
10903921,1151.0,2.0,3.0,345877.0,6037.0,4146.51,44.0,0.011988394718353635,Los Angeles
11083106,1522.0,2.0,3.0,308910.0,6037.0,3741.38,37.0,0.012111553526917226,Los Angeles
12749741,1285.0,2.0,3.0,82374.0,6037.0,1315.15,63.0,0.01596559594046665,Los Angeles
11797465,865.0,1.0,2.0,280000.0,6037.0,3458.73,111.0,0.012352607142857143,Los Angeles
12068159,1864.0,3.0,2.0,686000.0,6037.0,7529.72,35.0,0.010976268221574345,Los Angeles
11733550,1356.0,1.0,4.0,37019.0,6037.0,532.7,92.0,0.014389907885140064,Los Angeles
11433174,641.0,1.0,1.0,113155.0,6037.0,1502.03,46.0,0.013274093058194512,Los Angeles
10779619,2057.0,3.0,3.0,639607.0,6037.0,2562.42,49.0,0.00400624133256828,Los Angeles
11917650,1502.0,3.0,4.0,257446.0,6037.0,3366.73,91.0,0.013077422061325481,Los Angeles
14012730,1973.0,1.5,4.0,80102.0,6059.0,1148.76,59.0,0.014341214950937554,Orange
14648524,1188.0,2.0,2.0,158950.0,6059.0,1580.44,44.0,0.009943000943692985,Orange
11830465,1308.0,1.0,3.0,219078.0,6037.0,3108.41,87.0,0.014188599494244059,Los Angeles
17165634,2526.0,2.0,6.0,94344.0,6111.0,1082.46,67.0,0.011473543627575682,Ventura
10811539,2806.0,4.0,4.0,708607.0,6037.0,8760.58,50.0,0.01236310112657651,Los Angeles
12048224,1260.0,1.0,3.0,466127.0,6037.0,5151.64,94.0,0.01105200943090617,Los Angeles
12693966,1333.0,2.0,2.0,370565.0,6037.0,4742.48,52.0,0.012797970666414797,Los Angeles
14010551,1934.0,1.0,3.0,382158.0,6059.0,4781.2,78.0,0.012511055636673835,Orange
12811794,959.0,1.0,2.0,66488.0,6037.0,1246.35,94.0,0.018745487907592347,Los Angeles
12347492,1560.0,2.0,3.0,465101.0,6037.0,5826.88,63.0,0.012528203551486667,Los Angeles
10946379,1705.0,3.0,3.0,327580.0,6037.0,3605.23,26.0,0.01100564747542585,Los Angeles
11923149,1269.0,2.0,1.0,176857.0,6037.0,2325.47,45.0,0.013148871687295385,Los Angeles
12941764,1353.0,2.0,3.0,246816.0,6037.0,3378.03,61.0,0.013686430377285104,Los Angeles
10871677,1102.0,1.0,3.0,206623.0,6037.0,2601.94,62.0,0.012592692972224777,Los Angeles
14656105,924.0,1.0,1.0,212347.0,6059.0,2576.3,34.0,0.012132500105958644,Orange
12541155,842.0,2.0,2.0,83726.0,6037.0,1067.98,29.0,0.012755655351981464,Los Angeles
14257065,1080.0,1.5,2.0,137444.0,6059.0,1929.18,53.0,0.014036116527458457,Orange
17251843,879.0,2.0,2.0,201927.0,6111.0,2484.44,33.0,0.01230365429090711,Ventura
11499751,2259.0,3.0,5.0,119245.0,6037.0,1562.52,53.0,0.013103442492347687,Los Angeles
11603473,3588.0,3.0,4.0,142693.0,6037.0,2007.31,66.0,0.014067333366037577,Los Angeles
14637110,2117.0,3.0,4.0,758345.0,6059.0,11279.92,5.0,0.014874390943436035,Orange
11958628,927.0,1.0,3.0,46933.0,6037.0,588.64,107.0,0.012542134532205484,Los Angeles
12118682,2121.0,2.0,4.0,74714.0,6037.0,1128.2,93.0,0.015100248949326767,Los Angeles
11056104,1572.0,3.0,3.0,404060.0,6037.0,4934.43,56.0,0.01221212196208484,Los Angeles
11503172,3041.0,3.0,4.0,245311.0,6037.0,2963.65,68.0,0.012081194891382775,Los Angeles
11993956,1692.0,2.0,3.0,649169.0,6037.0,8063.11,94.0,0.0124206639565352,Los Angeles
11054736,1611.0,2.0,4.0,89640.0,6037.0,1144.73,61.0,0.012770303435966086,Los Angeles
11206210,1078.0,2.0,2.0,124006.0,6037.0,2290.48,32.0,0.018470719158750384,Los Angeles
12563708,1476.0,2.0,3.0,58143.0,6037.0,881.04,69.0,0.015152984882101025,Los Angeles
